Longitude,Latitude,Accuracy,Altitude,Time,Easting,Northing
023.7796374,37.9755201,02.9800000,0230.0,2023-02-15T11:35:52.313000,480496.66,4202833.91
023.7796271,37.9755268,02.9800000,0230.0,2023-02-15T11:35:53.315000,480495.75,4202834.65
023.7796174,37.9755349,02.9000000,0230.0,2023-02-15T11:35:54.314000,480494.90,4202835.55
023.7796108,37.9755423,02.8800000,0230.0,2023-02-15T11:35:55.313000,480494.33,4202836.37
023.7796067,37.9755468,02.7800000,0230.0,2023-02-15T11:35:56.315000,480493.97,4202836.87
023.7796041,37.9755494,02.7800000,0229.0,2023-02-15T11:35:57.315000,480493.74,4202837.16
023.7796000,37.9755523,02.7330000,0229.0,2023-02-15T11:35:58.315000,480493.38,4202837.49
023.7795958,37.9755553,02.7800000,0228.0,2023-02-15T11:35:59.317000,480493.01,4202837.82
023.7795888,37.9755599,02.6800000,0228.0,2023-02-15T11:36:00.315000,480492.40,4202838.33
023.7795795,37.9755639,02.5660000,0228.0,2023-02-15T11:36:01.313000,480491.58,4202838.78
023.7795697,37.9755669,02.5800000,0228.0,2023-02-15T11:36:02.318000,480490.72,4202839.11
023.7795586,37.9755705,02.4800000,0227.0,2023-02-15T11:36:03.317000,480489.75,4202839.51
023.7795484,37.9755727,02.3160000,0226.0,2023-02-15T11:36:04.311000,480488.85,4202839.76
023.7795409,37.9755770,02.1500000,0226.0,2023-02-15T11:36:05.312000,480488.20,4202840.24
023.7795283,37.9755833,02.0800000,0225.0,2023-02-15T11:36:06.315000,480487.09,4202840.94
023.7795148,37.9755900,01.9830000,0225.0,2023-02-15T11:36:07.317000,480485.91,4202841.69
023.7795014,37.9755961,01.5830000,0225.0,2023-02-15T11:36:08.314000,480484.73,4202842.37
023.7794918,37.9756019,01.5000000,0225.0,2023-02-15T11:36:09.314000,480483.89,4202843.01
023.7794837,37.9756074,01.5000000,0225.0,2023-02-15T11:36:10.319000,480483.18,4202843.62
023.7794737,37.9756127,01.5000000,0224.0,2023-02-15T11:36:11.317000,480482.30,4202844.21
023.7794630,37.9756168,01.9000000,0224.0,2023-02-15T11:36:12.316000,480481.36,4202844.67
023.7794535,37.9756192,01.9800000,0225.0,2023-02-15T11:36:13.315000,480480.53,4202844.94
023.7794443,37.9756223,01.9000000,0224.0,2023-02-15T11:36:14.313000,480479.72,4202845.28
023.7794340,37.9756263,01.9000000,0224.0,2023-02-15T11:36:15.317000,480478.82,4202845.73
023.7794229,37.9756286,01.9800000,0225.0,2023-02-15T11:36:16.317000,480477.85,4202845.99
023.7794118,37.9756287,02.3000000,0225.0,2023-02-15T11:36:17.312000,480476.87,4202846.00
023.7794015,37.9756291,01.9000000,0225.0,2023-02-15T11:36:18.316000,480475.97,4202846.05
023.7793923,37.9756310,01.9800000,0225.0,2023-02-15T11:36:19.315000,480475.16,4202846.26
023.7793839,37.9756334,01.9000000,0224.0,2023-02-15T11:36:20.317000,480474.42,4202846.53
023.7793771,37.9756357,01.9000000,0224.0,2023-02-15T11:36:21.313000,480473.82,4202846.79
023.7793704,37.9756377,01.9800000,0224.0,2023-02-15T11:36:22.316000,480473.24,4202847.01
023.7793591,37.9756409,01.9000000,0225.0,2023-02-15T11:36:23.311000,480472.24,4202847.37
023.7793487,37.9756438,01.9000000,0225.0,2023-02-15T11:36:24.310000,480471.33,4202847.69
023.7793379,37.9756455,01.9800000,0225.0,2023-02-15T11:36:25.317000,480470.38,4202847.88
023.7793272,37.9756482,01.9000000,0225.0,2023-02-15T11:36:26.310000,480469.45,4202848.18
023.7793157,37.9756518,02.3000000,0226.0,2023-02-15T11:36:27.311000,480468.44,4202848.58
023.7793054,37.9756565,01.9000000,0226.0,2023-02-15T11:36:28.311000,480467.53,4202849.11
023.7792949,37.9756613,01.8800000,0226.0,2023-02-15T11:36:29.321000,480466.61,4202849.64
023.7792857,37.9756663,01.7330000,0226.0,2023-02-15T11:36:30.314000,480465.81,4202850.20
023.7792779,37.9756716,01.7330000,0226.0,2023-02-15T11:36:31.310000,480465.12,4202850.79
023.7792710,37.9756796,01.7800000,0226.0,2023-02-15T11:36:32.312000,480464.52,4202851.68
023.7792662,37.9756873,01.6800000,0226.0,2023-02-15T11:36:33.313000,480464.10,4202852.53
023.7792569,37.9756935,01.5660000,0227.0,2023-02-15T11:36:34.314000,480463.28,4202853.22
023.7792454,37.9756985,01.6800000,0227.0,2023-02-15T11:36:35.317000,480462.27,4202853.78
023.7792339,37.9757030,01.5800000,0227.0,2023-02-15T11:36:36.314000,480461.27,4202854.28
023.7792225,37.9757072,01.5800000,0227.0,2023-02-15T11:36:37.314000,480460.27,4202854.75
023.7792115,37.9757117,01.5800000,0227.0,2023-02-15T11:36:38.316000,480459.30,4202855.25
023.7791989,37.9757158,01.5660000,0227.0,2023-02-15T11:36:39.315000,480458.19,4202855.71
023.7791862,37.9757208,01.5660000,0227.0,2023-02-15T11:36:40.312000,480457.08,4202856.27
023.7791740,37.9757256,01.6500000,0227.0,2023-02-15T11:36:41.312000,480456.01,4202856.80
023.7791618,37.9757292,02.1330000,0227.0,2023-02-15T11:36:42.311000,480454.94,4202857.20
023.7791492,37.9757319,01.6500000,0227.0,2023-02-15T11:36:43.309000,480453.83,4202857.51
023.7791378,37.9757381,01.7800000,0227.0,2023-02-15T11:36:44.316000,480452.83,4202858.20
023.7791309,37.9757459,01.8800000,0227.0,2023-02-15T11:36:45.314000,480452.23,4202859.06
023.7791238,37.9757537,01.8800000,0227.0,2023-02-15T11:36:46.315000,480451.61,4202859.93
023.7791163,37.9757603,01.8800000,0227.0,2023-02-15T11:36:47.318000,480450.95,4202860.66
